chromosome,start,end,name,strand,type,gene
chr1,11869,14412,ENSG00000223972.4,+,pseudogene,DDX11L1
chr1,14363,29806,ENSG00000227232.4,-,pseudogene,WASH7P
chr1,29554,31109,ENSG00000243485.2,+,lincRNA,MIR1302-11
chr1,34554,36081,ENSG00000237613.2,-,lincRNA,FAM138A
chr1,52473,54936,ENSG00000268020.2,+,pseudogene,OR4G4P
chr1,62948,63887,ENSG00000240361.1,+,pseudogene,OR4G11P
chr1,69091,70008,ENSG00000186092.4,+,protein_coding,OR4F5
chr1,89295,133566,ENSG00000238009.2,-,lincRNA,RP11-34P13.7
chr1,89551,91105,ENSG00000239945.1,-,lincRNA,RP11-34P13.8
chr1,131025,134836,ENSG00000233750.3,+,pseudogene,CICP27
chr1,134901,139379,ENSG00000237683.5,-,protein_coding,AL627309.1
chr1,135141,135895,ENSG00000268903.1,-,pseudogene,RP11-34P13.15
chr1,137682,137965,ENSG00000269981.1,-,pseudogene,RP11-34P13.16
chr1,139790,140339,ENSG00000239906.1,-,antisense,RP11-34P13.14
chr1,141474,173862,ENSG00000241860.2,-,processed_transcript,RP11-34P13.13
chr1,157784,157887,ENSG00000222623.1,-,snRNA,RNU6-1100P
chr1,160446,161525,ENSG00000241599.1,+,lincRNA,RP11-34P13.9
chr1,227615,267253,ENSG00000228463.4,-,lincRNA,AP006222.2
chr1,228292,228775,ENSG00000241670.2,-,pseudogene,AP006222.1
chr1,317720,453948,ENSG00000237094.7,+,lincRNA,RP4-669L17.10
chr1,326096,328112,ENSG00000250575.1,+,pseudogene,RP4-669L17.8
chr1,329431,332236,ENSG00000233653.3,-,pseudogene,CICP7
chr1,334126,334305,ENSG00000224813.2,+,pseudogene,RP4-669L17.4
chr1,367640,368634,ENSG00000235249.1,+,protein_coding,OR4F29
chr1,379105,379467,ENSG00000269732.1,-,pseudogene,WBP1LP7
chr1,450820,450910,ENSG00000256186.1,-,pseudogene,AL732372.1
chr1,453633,460480,ENSG00000236601.1,-,lincRNA,RP4-669L17.2
chr1,459656,461954,ENSG00000236743.1,+,lincRNA,RP5-857K21.15
chr1,470971,471355,ENSG00000236679.2,+,pseudogene,RP4-669L17.1
chr1,521369,523833,ENSG00000231709.1,-,lincRNA,RP5-857K21.1
chr1,523009,530148,ENSG00000235146.2,+,lincRNA,RP5-857K21.2
chr1,529833,532878,ENSG00000239664.2,-,lincRNA,RP5-857K21.3
chr1,536816,659930,ENSG00000230021.3,-,lincRNA,RP5-857K21.4
chr1,562757,564390,ENSG00000223659.1,-,lincRNA,RP5-857K21.5
chr1,564442,564813,ENSG00000225972.1,+,pseudogene,MTND1P23
chr1,565020,566063,ENSG00000225630.1,+,pseudogene,MTND2P28
chr1,566454,567996,ENSG00000237973.1,+,pseudogene,hsa-mir-6723
chr1,568137,568818,ENSG00000229344.1,+,pseudogene,RP5-857K21.7
chr1,568915,569121,ENSG00000240409.1,+,pseudogene,MTATP8P1
chr1,569076,569756,ENSG00000248527.1,+,pseudogene,MTATP6P1
chr1,569756,570302,ENSG00000198744.5,+,pseudogene,RP5-857K21.11
chr1,610222,610645,ENSG00000268663.1,+,pseudogene,WBP1LP6
chr1,621059,622053,ENSG00000185097.2,-,protein_coding,OR4F16
chr1,657472,660283,ENSG00000229376.3,+,pseudogene,CICP3
chr1,661611,663527,ENSG00000224956.5,-,pseudogene,RP11-206L10.1
chr1,677193,685396,ENSG00000235373.1,-,lincRNA,RP11-206L10.3
chr1,693613,693716,ENSG00000223181.1,-,snRNA,RNU6-1199P
chr1,694412,700305,ENSG00000240618.1,-,lincRNA,RP11-206L10.5
chr1,696291,697369,ENSG00000229905.1,+,antisense,RP11-206L10.4
chr1,700237,714006,ENSG00000228327.2,-,lincRNA,RP11-206L10.2
chr1,714150,745440,ENSG00000237491.4,+,lincRNA,RP11-206L10.9
chr1,736259,745541,ENSG00000230092.3,-,pseudogene,RP11-206L10.8
chr1,738532,739137,ENSG00000269831.1,-,protein_coding,AL669831.1
chr1,745489,753092,ENSG00000240453.1,-,processed_transcript,RP11-206L10.10
chr1,752751,755214,ENSG00000177757.1,+,lincRNA,FAM87B
chr1,761586,762902,ENSG00000225880.4,-,lincRNA,LINC00115
chr1,762988,794826,ENSG00000228794.4,+,processed_transcript,RP11-206L10.11
